Data as of 2025-03-22
Symbol,Name,Asset Class,Assets,Avg. Daily Volume,Price,Inverse,Leveraged,Smart Beta,Currency Hedged,1 Week Returns,1 Month Returns,YTD Price Change,1 Year Returns,3 Year Returns,5 Year Returns,1 Week FF,4 Week FF,YTD FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Annual Dividend Rate,Dividend Date,Dividend, Annual Dividend Yield %, Dividend Frequency, Standard Deviation,P/E Ratio,Beta,5-Day Volatility,20-Day Volatility,50-Day Volatility,200-Day Volatility,Issuer,# of Holdings,% In Top 10,% In Top 15,% In Top 50,ST Cap Gains,LT Cap Gains,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity,Expenses,Performance,Volatility,ETF Database Pro,Dividend,Concentration,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),ESG Exclusion Criteria (%),Sustainable Impact Solutions (%)
SDVD,FT Vest SMID Rising Dividend Achievers Target Income ETF,Equity,"$367,263,000","224,187",$20.00,false,False,false,false,0.96%,-7.94%,-5.73%,0.14%,N/A,N/A,$3.9722,$29.4944,$162.35405,$332.96875,$394.35195,$394.35195,n/a,2023-08-09,0.85%,$2.01,2025-02-21,$0.16,10.04%,Monthly,1.11%,N/A,N/A,29.56%,18.99%,17.97%,19.21%,First Trust,97,12.67%,18.48%,56.77%,40%,20%,1099,$19.18,$21.32,$19.80,$20.17,39.58,A,C+,B+,C+,B+,A,N/A,6.07,3.87%,37.45%,90.28,2.10%,8.52%
TDVI,FT Vest Technology Dividend Target Income ETF,Equity,"$72,614,400","34,070",$23.14,false,False,false,false,-0.09%,-8.92%,-2.71%,9.94%,N/A,N/A,$0.0,$1.4966,$25.83965,$53.83045,$73.2842,$73.2842,n/a,2023-08-09,0.75%,$1.94,2025-02-21,$0.17,8.40%,Monthly,1.35%,N/A,N/A,101.79%,26.21%,22.42%,20.01%,First Trust,87,55.68%,65.84%,96.56%,40%,20%,1099,$22.41,$24.73,$22.96,$23.23,43.53,B,B-,A,C+,B+,A,N/A,7.27,97.34%,82.11%,38.34,10.52%,2.60%
CANC,Tema Oncology ETF,Equity,"$66,981,500","19,056",$24.95,false,False,false,false,-0.58%,-3.65%,2.66%,-7.60%,N/A,N/A,$0.0,$0.502954,$18.174675,$52.108537,$67.6944,$67.6944,Health & Biotech Equities,2023-08-15,0.75%,$0.73,2024-12-11,$0.73,2.92%,Annually,1.25%,N/A,N/A,35.14%,18.40%,19.68%,20.39%,Tema Global Ltd.,53,43.38%,58.64%,99.45%,40%,20%,1099,$24.71,$25.85,$24.88,$25.05,46.68,B,B-,N/A,C,B-,B+,N/A,6.07,31.50%,37.39%,27.69,0.00%,28.43%
CONY,YieldMax COIN Option Income Strategy ETF,Equity,"$934,921,000","5,395,366",$8.53,false,False,false,false,4.41%,-21.81%,-19.49%,-18.82%,N/A,N/A,-$0.639405,$98.255248,$374.134463,"$1,526.709963","$1,848.80493","$1,848.80493",n/a,2023-08-15,1.22%,$17.35,2025-03-06,$0.60,203.17%,Monthly,1.46%,N/A,N/A,187.93%,84.69%,66.07%,77.73%,Tidal Financial Group,9,100.01%,100.01%,100.01%,40%,20%,1099,$7.75,$9.90,$8.36,$8.62,40.86,A,C,N/A,C,B,A,N/A,5.85,41.69%,32.62%,1.81,0.00%,0.00%
DIVL,Madison Dividend Value ETF,Equity,"$60,298,800","3,141",$21.61,false,False,false,false,0.45%,-3.17%,1.90%,5.81%,N/A,N/A,$0.54162,$0.54162,$1.09649,-$8.405378,$54.283833,$54.283833,n/a,2023-08-15,0.65%,$0.52,2025-02-26,$0.03,2.39%,Monthly,0.94%,N/A,N/A,40.43%,14.14%,12.48%,11.90%,"Madison Investment Holdings, Inc.",39,37.53%,52.93%,100.01%,40%,20%,1099,$21.24,$22.45,$21.56,$21.63,45.71,B,B,N/A,B,B+,B+,N/A,7.29,97.58%,82.60%,187.62,10.71%,1.97%
NDIA,Global X India Active ETF,Equity,"$23,439,500","5,580",$28.08,false,False,false,false,6.25%,3.63%,-2.11%,2.10%,N/A,N/A,-$0.006615,$0.509897,$0.51461,$14.796106,$24.634598,$24.634598,n/a,2023-08-17,0.76%,$1.05,2024-12-30,$1.05,3.82%,Semi-Annually,1.61%,N/A,N/A,46.21%,15.48%,15.16%,14.41%,"Mirae Asset Global Investments Co., Ltd.",29,55.87%,71.21%,99.99%,40%,20%,1099,$25.44,$27.65,$28.01,$28.12,62.07,B,B-,N/A,B-,B-,B-,N/A,5.22,35.25%,23.89%,"1,034.51",8.89%,1.29%
SAUG,FT Vest U.S. Small Cap Moderate Buffer ETF - August,Equity,"$99,641,100","21,277",$22.74,false,False,false,false,0.32%,-4.96%,-3.52%,4.55%,N/A,N/A,$1.13395,$20.2845,$22.67005,$57.89515,$94.7923,$94.7923,n/a,2023-08-18,0.90%,$0.00,N/A,N/A,0.00%,Annually,0.98%,N/A,N/A,10.86%,10.47%,9.73%,9.67%,First Trust,2,100.00%,100.00%,100.00%,40%,20%,1099,$22.26,$23.53,$22.67,$22.79,39.44,B,C+,N/A,B-,C+,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XAUG,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - August,Equity,"$28,188,700","3,518",$34.15,false,False,false,false,0.40%,-1.82%,-0.13%,5.94%,N/A,N/A,$0.0,-$2.568525,-$4.306925,$9.86085,$24.22655,$24.22655,n/a,2023-08-18,0.85%,$0.00,N/A,N/A,0.00%,Annually,0.79%,N/A,N/A,3.37%,8.13%,5.92%,4.97%,First Trust,2,100.00%,100.00%,100.00%,40%,20%,1099,$33.66,$34.76,$34.08,$34.19,46.62,B-,C+,N/A,A,B-,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAML,Congress Large Cap Growth ETF,Equity,"$256,157,000","39,444",$32.35,false,False,false,false,1.09%,-9.13%,-4.71%,4.72%,N/A,N/A,-$0.320297,$5.014175,-$4.986096,$116.167003,$232.684966,$232.684966,n/a,2023-08-22,0.65%,$0.02,2024-12-12,$0.02,0.06%,Annually,1.87%,N/A,N/A,91.39%,25.25%,20.54%,18.62%,Lagan Holding Co. Trust,41,34.39%,48.35%,100.00%,40%,20%,1099,$30.81,$35.01,$32.14,$32.47,41.02,A-,B,N/A,B-,B,B-,N/A,6.75,78.53%,61.77%,30.14,5.12%,8.05%
CSMD,Congress SMid Growth ETF,Equity,"$253,054,000","40,308",$27.90,false,False,false,false,0.47%,-8.28%,-6.75%,-6.92%,N/A,N/A,$2.8102,$13.408948,$27.524725,$158.87137,$251.480436,$251.480436,n/a,2023-08-22,0.68%,$0.00,2023-12-11,$0.01,0.00%,Annually,1.14%,N/A,N/A,26.67%,20.54%,19.13%,19.04%,Lagan Holding Co. Trust,45,32.93%,44.90%,100.01%,40%,20%,1099,$26.94,$29.61,$27.67,$28.02,39.87,A-,B,N/A,C+,B-,C+,N/A,7.04,97.92%,74.00%,56.71,4.68%,6.09%
CVRD,Madison Covered Call ETF,Equity,"$49,390,900","5,921",$18.13,false,False,false,false,0.52%,-4.15%,-3.43%,-0.79%,N/A,N/A,$0.0,$0.0,-$6.039646,-$23.15901,$55.3919,$55.3919,n/a,2023-08-21,0.99%,$2.95,2024-12-26,$0.47,16.23%,Quarterly,0.43%,N/A,N/A,25.24%,13.93%,11.16%,9.12%,"Madison Investment Holdings, Inc.",41,42.67%,56.62%,99.98%,40%,20%,1099,$17.78,$18.70,$18.06,$18.16,43.56,C+,C+,N/A,B+,B,A,N/A,6.57,77.18%,54.19%,195.37,12.02%,2.62%
AMDS,GraniteShares 1x Short AMD Daily ETF,Equity,"$1,943,700","43,856",$17.65,false,False,false,false,-5.16%,6.39%,10.80%,47.82%,N/A,N/A,$0.0,$0.171,-$1.4085,-$0.8325,$0.4686,$0.4686,n/a,2023-08-21,1.15%,$0.00,2023-12-27,$2.20,0.00%,Annually,1.94%,N/A,N/A,75.85%,41.31%,39.26%,40.67%,GraniteShares,1,100.00%,100.00%,100.00%,40%,20%,1099,$17.27,$19.73,$17.53,$17.84,50.07,A-,C,N/A,C,B,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LGRO,Level Four Large Cap Growth Active ETF,Equity,"$92,266,200","10,313",$32.74,false,False,false,false,0.79%,-9.06%,-5.87%,8.03%,N/A,N/A,$0.0,$4.866309,$3.634418,$3.975758,$50.35862,$50.35862,n/a,2023-08-22,0.50%,$0.11,2025-03-20,$0.02,0.35%,Quarterly,2.36%,N/A,N/A,112.40%,28.39%,21.76%,19.37%,SS&C,49,43.22%,57.17%,99.98%,40%,20%,1099,$31.20,$35.20,$32.46,$32.88,41.83,B-,B+,N/A,C+,B-,B-,N/A,6.45,41.64%,49.07%,25.25,8.36%,5.14%
NVD,GraniteShares 2x Short NVDA Daily ETF,Equity,"$70,562,300","4,014,731",$29.87,false,False,false,false,6.11%,28.20%,-0.60%,-73.80%,N/A,N/A,-$3.077,-$51.0633,$1.2498,"$2,291.849168","$2,339.915768","$2,339.915768",n/a,2023-08-21,1.50%,$2.61,2024-12-27,$2.61,8.73%,Annually,32.25%,N/A,N/A,62.46%,128.42%,129.68%,107.59%,GraniteShares,1,100.00%,100.00%,100.00%,40%,20%,1099,$25.14,$36.47,$29.39,$30.67,50.24,A+,C,N/A,C,B+,A+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TSDD,GraniteShares 2x Short TSLA Daily ETF,Equity,"$76,607,700","1,218,393",$66.35,false,False,false,false,-1.94%,69.04%,97.47%,-87.23%,N/A,N/A,$5.4809,$5.3656,-$4.894985,$114.919915,$116.307615,$116.307615,n/a,2023-08-21,0.95%,$0.00,2024-02-28,$0.10,0.00%,Annually,171.91%,N/A,N/A,488.14%,164.83%,130.59%,143.34%,GraniteShares,1,100.00%,100.00%,100.00%,40%,20%,1099,$45.89,$88.01,$63.04,$72.52,54.23,A,C+,N/A,C,B+,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TSLR,GraniteShares 2x Long TSLA Daily ETF,Equity,"$132,484,000","2,119,626",$14.24,false,False,false,false,-2.13%,-54.79%,-67.08%,19.87%,N/A,N/A,$14.7406,$79.5065,$141.3083,$211.589,$227.8513,$227.8513,n/a,2023-08-22,0.95%,$0.00,N/A,N/A,0.00%,Annually,12.32%,N/A,N/A,89.23%,182.85%,139.61%,142.35%,GraniteShares,1,100.00%,100.00%,100.00%,40%,20%,1099,$8.21,$25.41,$13.20,$14.79,36.01,A,C+,N/A,C,C+,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DARP,Grizzle Growth ETF,Equity,"$6,105,100","2,293",$30.36,false,False,false,false,-0.47%,-10.55%,-6.24%,4.38%,9.89%,N/A,-$6.10506,-$6.10506,-$7.88229,-$8.495966,$1.633784,$2.599197,Global Equities,2021-12-17,0.75%,$0.62,2024-12-23,$0.62,2.04%,Annually,1.97%,N/A,N/A,112.80%,36.04%,32.67%,28.24%,Tidal Financial Group,33,65.02%,80.16%,99.98%,40%,20%,1099,$28.66,$32.26,$30.17,$30.45,43.73,C,B-,B-,C,C,B-,N/A,6.4,32.24%,47.14%,108.84,8.58%,9.92%
MSFO,YieldMax MSFT Option Income Strategy ETF,Equity,"$120,131,000","57,000",$16.24,false,False,false,false,0.87%,-3.96%,-7.28%,-8.48%,N/A,N/A,$0.0,$2.032353,$18.44002,$109.006245,$148.710583,$148.710583,n/a,2023-08-25,1.01%,$5.09,2025-03-06,$0.29,31.57%,Monthly,0.65%,N/A,N/A,85.89%,21.41%,21.30%,19.64%,Tidal Financial Group,9,99.99%,99.99%,99.99%,40%,20%,1099,$15.72,$16.54,N/A,N/A,44.66,A-,C,N/A,C+,B,A,N/A,5.86,44.51%,32.82%,1.81,0.00%,0.00%
DISO,YieldMax DIS Option Income Strategy ETF,Equity,"$35,562,500","20,875",$14.34,false,False,false,false,1.49%,-9.42%,-8.84%,-10.17%,N/A,N/A,-$0.359218,-$0.38084,$7.012543,$34.976745,$45.388993,$45.388993,n/a,2023-08-24,1.32%,$5.65,2025-03-13,$0.29,39.67%,Monthly,1.04%,N/A,N/A,58.47%,26.62%,20.76%,19.53%,Tidal Financial Group,9,100.00%,100.00%,100.00%,40%,20%,1099,$13.44,$16.48,$14.18,$14.44,37.69,B+,C,N/A,C,B-,A,N/A,5.85,43.38%,32.75%,1.81,0.00%,0.00%
KEM,KraneShares Dynamic Emerging Markets Strategy ETF,Equity,"$5,071,700",631,$28.25,false,False,false,false,-1.29%,0.32%,7.89%,15.64%,N/A,N/A,$0.000222,$0.000812,-$0.000389,$0.66578,$4.36899,$4.36899,n/a,2023-08-25,0.47%,$0.70,2024-12-30,$0.70,2.44%,Annually,1.40%,N/A,N/A,41.38%,22.15%,18.16%,19.57%,CICC,3,100.00%,100.00%,100.00%,40%,20%,1099,$26.99,$29.16,$28.20,$28.27,55.24,C,B+,N/A,B-,B,A-,N/A,5.95,27.58%,35.02%,285.2,4.27%,4.08%
PCGG,Polen Capital Global Growth ETF,Equity,"$162,276,000","45,349",$11.38,false,False,false,false,0.71%,-7.32%,-3.39%,0.44%,N/A,N/A,$0.0,$4.5129,$9.91985,$78.49985,$152.46385,$152.46385,n/a,2023-08-30,0.85%,$0.00,N/A,N/A,0.00%,Annually,0.49%,N/A,N/A,75.43%,19.91%,16.33%,15.67%,Eurazeo SA,31,49.89%,67.01%,100.03%,40%,20%,1099,$11.00,$12.24,$11.30,$11.42,40.53,A-,B-,N/A,B,B-,C,N/A,7.17,67.29%,78.84%,12.58,15.89%,5.74%
USSE,Segall Bryant & Hamill Select Equity ETF,Equity,"$235,278,000","33,967",$29.92,false,False,false,false,1.26%,-8.58%,-8.72%,4.74%,N/A,N/A,-$1.4949,$1.5974,-$0.7375,$111.1403,$217.963,$217.963,n/a,2023-08-29,0.65%,$0.04,2024-12-27,$0.04,0.12%,Annually,1.89%,N/A,N/A,96.03%,24.13%,20.84%,19.09%,CI Financial,21,58.16%,79.85%,100.00%,40%,20%,1099,$28.52,$32.09,$29.73,$30.02,39.34,A-,B,N/A,B-,B,B-,N/A,6.53,57.78%,52.62%,11.12,3.77%,4.90%
AHLT,American Beacon AHL Trend ETF,Multi-Asset,"$47,240,000","13,095",$23.46,false,False,false,false,-0.47%,-3.25%,-0.40%,-2.37%,N/A,N/A,$0.0,$0.586,$6.063,$12.04075,$24.661321,$24.661321,n/a,2023-08-31,0.95%,$0.00,2023-12-21,$0.83,0.00%,Annually,1.13%,N/A,N/A,46.32%,13.36%,18.73%,16.66%,"Resolute Investment Managers, Inc.",7,99.99%,99.99%,99.99%,40%,20%,1099,$23.02,$23.77,$23.35,$23.52,47.14,B,C+,N/A,C+,B-,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XOMO,YieldMax XOM Option Income Strategy ETF,Equity,"$56,855,300","60,146",$14.48,false,False,false,false,1.65%,0.90%,5.23%,1.90%,N/A,N/A,$0.367398,$0.359578,$10.55211,$47.30485,$63.505453,$63.505453,n/a,2023-08-31,1.01%,$4.03,2025-03-20,$0.30,27.64%,Monthly,0.44%,N/A,N/A,51.23%,18.18%,18.70%,17.04%,Tidal Financial Group,9,100.02%,100.02%,100.02%,40%,20%,1099,$13.63,$14.60,$14.41,$14.54,57.59,A-,C,N/A,B,B+,A,N/A,5.84,40.28%,32.56%,1.81,0.00%,0.00%
ISEP,Innovator International Developed Power Buffer ETF - September,Equity,"$123,335,000","43,356",$29.14,false,False,false,false,-0.08%,1.31%,5.73%,7.12%,N/A,N/A,$0.0,$66.768253,$66.768253,$68.663218,$113.86085,$113.86085,n/a,2023-09-01,0.85%,$0.00,N/A,N/A,0.00%,Annually,0.71%,N/A,N/A,19.70%,9.83%,8.01%,7.19%,Innovator,3,100.00%,100.00%,100.00%,40%,20%,1099,$28.57,$29.50,$29.11,$29.17,57.5,B,C+,N/A,B,C+,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEPT,AllianzIM U.S. Large Cap Buffer10 Sep ETF,Equity,"$18,048,400","2,698",$30.06,false,False,false,false,0.37%,-4.54%,-1.74%,7.31%,N/A,N/A,$0.0,$0.0,-$2.310398,-$0.566945,$5.188243,$5.188243,n/a,2023-08-31,0.74%,$0.00,N/A,N/A,0.00%,Annually,1.14%,N/A,N/A,4.95%,13.10%,10.15%,9.02%,Allianz Investment Management LLC,2,100.00%,100.00%,100.00%,40%,20%,1099,$29.34,$31.27,$30.06,$30.06,42.71,C+,B-,N/A,B+,C+,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEPW,AllianzIM U.S. Large Cap Buffer20 Sep ETF,Equity,"$74,547,500","70,393",$28.66,false,False,false,false,0.29%,-2.81%,-0.84%,5.64%,N/A,N/A,$0.0,$1.466088,-$102.671528,$26.344258,$55.394753,$55.394753,n/a,2023-08-31,0.74%,$0.00,N/A,N/A,0.00%,Annually,0.74%,N/A,N/A,27.79%,8.93%,6.88%,6.23%,Allianz Investment Management LLC,2,100.00%,100.00%,100.00%,40%,20%,1099,$28.24,$29.33,N/A,N/A,44.03,B-,B-,N/A,A-,B-,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JPMO,YieldMax JPM Option Income Strategy ETF,Equity,"$47,570,900","40,143",$16.73,false,False,false,false,2.83%,-9.66%,-1.00%,-0.19%,N/A,N/A,$0.0,-$0.797295,$11.236238,$44.91913,$55.105545,$55.105545,n/a,2023-09-11,1.19%,$4.87,2025-02-27,$0.30,29.32%,Monthly,0.83%,N/A,N/A,103.70%,26.93%,21.84%,20.62%,Tidal Financial Group,9,100.00%,100.00%,100.00%,40%,20%,1099,$15.47,$18.59,$16.58,$16.84,41.44,B+,C,N/A,C+,B,A,N/A,5.83,38.87%,32.42%,1.81,0.00%,0.00%
KSEA,KraneShares Rockefeller Ocean Engagement ETF,Equity,"$2,729,600",116,$26.72,false,False,false,false,-0.38%,-1.44%,1.80%,1.88%,N/A,N/A,-$0.000795,-$0.000261,-$0.000648,-$0.000914,$2.499559,$2.499559,n/a,2023-09-12,0.85%,$0.48,2024-12-17,$0.48,1.76%,Annually,0.70%,N/A,N/A,33.18%,16.27%,12.64%,11.70%,CICC,42,34.46%,48.63%,100.00%,40%,20%,1099,$26.49,$27.40,$26.70,$26.77,47.04,C,C+,N/A,B,C+,B-,N/A,7.2,0.00%,79.81%,124.54,7.54%,11.08%
DCOR,Dimensional US Core Equity 1 ETF,Equity,"$1,373,390,000","141,190",$61.93,false,False,false,false,0.70%,-7.17%,-3.48%,7.11%,N/A,N/A,$10.801505,$74.576587,$197.471183,$936.392681,"$1,292.237484","$1,292.237484",n/a,2023-09-12,0.14%,$0.63,2024-12-17,$0.24,1.01%,Quarterly,3.43%,N/A,N/A,33.97%,18.62%,15.46%,14.70%,Dimensional,"2,326",25.93%,30.50%,45.65%,40%,20%,1099,$59.76,$65.75,$61.55,$62.14,41.5,A,A,N/A,B,A-,B-,N/A,6.38,77.02%,46.47%,101.99,10.31%,6.74%
NVDD,Direxion Daily NVDA Bear 1X Shares,Equity,"$26,875,800","12,101,321",$6.80,true,-1x,false,false,3.34%,15.45%,5.10%,-38.55%,N/A,N/A,$4.502925,$0.50835,$1.738775,$21.55835,$27.631325,$27.631325,Inverse Equities,2023-09-13,1.02%,$0.31,2024-12-23,$0.07,4.60%,Quarterly,1.83%,N/A,N/A,42.03%,64.68%,65.58%,54.39%,Rafferty Asset Management,2,100.00%,100.00%,100.00%,40%,20%,1099,$6.19,$7.50,$6.74,$6.89,51.81,A,C,N/A,A,A-,A-,N/A,4.95,9.84%,20.80%,1.81,0.00%,0.00%
NVDU,Direxion Daily NVDA Bull 2X Shares,Equity,"$538,183,000","1,452,033",$62.44,false,2x,false,false,-6.89%,-32.87%,-33.28%,7.35%,N/A,N/A,$12.4796,$41.89455,$117.400275,$520.958875,$597.47455,$597.47455,Leveraged Equities,2023-09-13,0.97%,$15.77,2024-12-23,$0.65,25.26%,Quarterly,20.35%,N/A,N/A,476.06%,135.91%,144.93%,117.09%,Rafferty Asset Management,2,100.00%,100.00%,100.00%,40%,20%,1099,$48.61,$80.86,$60.78,$63.44,43.75,A,C,N/A,A,B+,B-,N/A,6.8,76.37%,64.23%,2.8,0.00%,16.86%
JGLO,JPMorgan Global Select Equity ETF Global Select Equity ETF,Equity,"$6,712,570,000","199,146",$59.90,false,False,false,false,-0.18%,-4.25%,-0.23%,5.15%,N/A,N/A,$10.493,$215.5115,$202.8615,"$4,525.76475","$6,392.72925","$6,392.72925",n/a,2023-09-13,0.47%,$1.20,2024-12-24,$0.38,2.01%,Annually,2.20%,N/A,N/A,6.89%,16.15%,13.36%,12.46%,JPMorgan Chase,75,35.39%,45.33%,86.47%,40%,20%,1099,$58.94,$62.00,$59.60,$60.08,44.38,A,B+,N/A,B,B+,B-,N/A,6.68,25.00%,59.00%,130.7,17.71%,7.34%
JIVE,JPMorgan International Value ETF,Equity,"$142,155,000","13,049",$62.82,false,False,false,false,0.58%,4.39%,13.89%,18.47%,N/A,N/A,$0.0,$12.261,$18.11,$111.0345,$120.665,$120.665,n/a,2023-09-13,0.55%,$1.37,2024-12-24,$1.19,2.18%,Annually,2.31%,N/A,N/A,19.44%,17.66%,14.43%,13.39%,JPMorgan Chase,338,14.17%,18.89%,39.21%,40%,20%,1099,$59.03,$63.78,N/A,N/A,63.97,B+,B,N/A,B-,B,B,N/A,6.94,7.21%,69.79%,159.91,6.38%,4.79%
MAPP,Harbor Multi-Asset Explorer ETF,Multi-Asset,"$4,662,000",166,$23.18,false,False,false,false,0.40%,-3.36%,2.00%,9.39%,N/A,N/A,$0.0,$0.00825,$0.0085,$0.57875,$3.57875,$3.57875,n/a,2023-09-13,0.92%,$0.55,2024-12-20,$0.55,2.36%,Annually,0.89%,N/A,N/A,28.80%,14.15%,11.81%,10.59%,ORIX,21,78.61%,92.01%,99.99%,40%,20%,1099,$22.69,$23.87,$23.18,$23.18,47.64,C,C+,N/A,B+,B-,A-,N/A,6.32,57.69%,44.35%,104.24,8.29%,4.18%
QQQY,Defiance Nasdaq 100 Enhanced Options & 0DTE Income ETF,Equity,"$134,257,000","113,054",$27.33,false,False,true,false,1.49%,-6.93%,-4.37%,10.42%,N/A,N/A,-$2.040465,$0.832008,-$12.068015,-$30.631443,$293.33859,$293.33859,Large Cap Blend Equities,2023-09-14,1.00%,$15.68,2025-03-20,$0.29,57.38%,N/A,2.02%,N/A,N/A,75.88%,23.30%,18.45%,16.39%,Tidal Financial Group,8,100.00%,100.00%,100.00%,40%,20%,1099,$26.28,$28.45,$27.04,$27.49,44.98,N/A,C,N/A,N/A,N/A,N/A,N/A,5.84,39.72%,32.53%,1.81,0.00%,0.00%
SMRI,Bushido Capital US Equity ETF,Equity,"$419,628,000","14,693",$31.48,false,False,false,false,1.47%,-4.29%,0.86%,8.51%,N/A,N/A,$0.949026,$8.544791,$22.303213,$55.998888,$342.22118,$342.22118,n/a,2023-09-14,0.72%,$0.31,2024-12-30,$0.31,0.97%,Annually,1.73%,N/A,N/A,50.24%,15.46%,13.76%,14.48%,ETF Architect,53,23.17%,34.11%,99.39%,40%,20%,1099,$30.62,$32.46,$31.33,$31.56,47.27,B,B,N/A,B,B,B-,N/A,6.54,58.66%,52.84%,107.42,3.99%,3.64%
BGIG,Bahl & Gaynor Income Growth ETF,Equity,"$174,169,000","8,516",$29.54,false,False,false,false,0.25%,-2.73%,1.01%,9.48%,N/A,N/A,$0.0,$2.415932,$5.704991,$34.235513,$45.97287,$45.97287,n/a,2023-09-14,0.45%,$0.59,2025-02-27,$0.05,2.00%,Monthly,1.26%,N/A,N/A,39.00%,12.66%,11.65%,11.87%,"Bahl & Gaynor, Inc.",52,39.33%,53.48%,99.96%,40%,20%,1099,$29.13,$30.48,$29.48,$29.59,47.02,B,B+,N/A,B+,B+,B+,N/A,6.93,86.44%,69.37%,274.15,6.79%,1.42%
HYSA,BondBloxx USD High Yield Bond Sector Rotation ETF,Bond,"$29,401,300","13,507",$15.07,false,False,false,false,0.54%,-0.12%,1.82%,7.35%,N/A,N/A,$0.0,-$0.607752,$0.296406,-$9.938709,-$14.430388,-$66.276653,High Yield Bonds,2023-09-18,0.55%,$1.02,2025-03-03,$0.08,6.78%,Monthly,0.41%,N/A,N/A,10.63%,5.20%,5.67%,6.22%,Bondbloxx Investment Management Corp.,8,100.00%,100.00%,100.00%,40%,20%,1099,$14.97,$15.17,N/A,N/A,52.11,N/A,B+,N/A,N/A,N/A,N/A,N/A,5.55,60.33%,28.36%,237.38,7.32%,2.97%
GSEP,FT Vest U.S. Equity Moderate Buffer ETF - September,Equity,"$210,839,000","34,856",$34.68,false,False,false,false,0.30%,-3.22%,-1.01%,5.31%,N/A,N/A,$2.597875,$4.19355,-$27.795275,$76.957525,$189.029725,$189.029725,n/a,2023-09-15,0.85%,$0.00,N/A,N/A,0.00%,Annually,0.89%,N/A,N/A,4.60%,9.99%,7.76%,6.87%,First Trust Advisors LP,2,100.00%,100.00%,100.00%,40%,20%,1099,$34.06,$35.69,$34.56,$34.75,43.49,B+,C+,N/A,A-,B-,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMDY,YieldMax AMD Option Income Strategy ETF,Equity,"$152,579,000","554,995",$8.32,false,False,false,false,4.52%,-5.05%,-8.44%,-28.68%,N/A,N/A,-$1.035138,$0.172793,$20.151418,$171.325343,$277.569478,$277.569478,n/a,2023-09-18,1.23%,$7.63,2025-03-06,$0.25,91.60%,Monthly,1.12%,N/A,N/A,71.40%,34.04%,35.17%,34.66%,Tidal Financial Group,8,100.00%,100.00%,100.00%,40%,20%,1099,$7.50,$8.43,N/A,N/A,50.08,A,C+,N/A,C,B+,A,N/A,5.85,40.85%,32.59%,1.81,0.00%,0.00%
XISE,FT Vest U.S. Equity Buffer & Premium Income ETF - September,Equity,"$66,244,300","15,564",$30.13,false,False,false,false,0.44%,-0.34%,0.92%,5.04%,N/A,N/A,-$0.750425,-$4.51625,-$15.158075,$12.266125,$66.8596,$66.8596,n/a,2023-09-15,0.85%,$2.02,2025-03-03,$0.15,6.70%,Monthly,0.47%,N/A,N/A,4.56%,4.44%,3.94%,3.39%,First Trust Advisors LP,8,100.00%,100.00%,100.00%,40%,20%,1099,$29.82,$30.23,$30.05,$30.16,53.76,B+,C+,N/A,A,A-,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HCOW,Amplify COWS Covered Call ETF,Equity,"$10,228,600","3,792",$24.13,false,False,false,false,1.56%,-4.25%,-4.13%,-3.87%,N/A,N/A,$0.0,$0.715824,$2.270163,$7.931376,$10.907057,$10.907057,n/a,2023-09-20,0.65%,$2.12,2025-02-27,$0.21,8.78%,Monthly,0.76%,N/A,N/A,34.28%,17.47%,14.46%,14.74%,Amplify Investments,53,27.24%,38.89%,99.89%,40%,20%,1099,$23.42,$24.86,$24.00,$24.21,44.79,C+,B,N/A,B-,B,A-,N/A,6.77,83.66%,62.46%,162.29,11.63%,1.64%
LRGC,AB US Large Cap Strategic Equities ETF,Equity,"$338,139,000","28,649",$65.22,false,False,true,false,0.11%,-7.50%,-3.06%,7.68%,N/A,N/A,$2.915091,$32.433992,$82.589307,$255.680744,$318.705305,$318.705305,Large Cap Blend Equities,2023-09-20,0.48%,$0.31,2024-12-17,$0.31,0.47%,Annually,3.56%,N/A,N/A,5.12%,20.33%,16.80%,15.11%,AllianceBernstein Holding,69,41.36%,50.91%,89.60%,40%,20%,1099,$63.15,$69.42,$65.01,$65.33,41.33,N/A,B,N/A,N/A,N/A,N/A,N/A,6.47,44.83%,49.84%,84.41,9.05%,9.06%
